NAME,TWITTER_ID,PROFESSION,GENDER,PROVINCE,,,,
Dr. Jennifer Kwan,@jkwan_md,,,BC,,,,
Dr. Nadia Alam,@DocSchmadia,,,BC,,,,
Dr. Dustin Costescu,@BirthControlDoc,,,BC,,,,
Doctors of BC,@DoctorsOfBC,,,BC,,,,
BC Family Doctors,@BCFamilyDoctors,,,BC,,,,
Dr. charles catton,@ProfCatton,,,BC,,,,
Dr. Philippe Bedard,@Philippe_Bedard,,,BC,,,,
Mark Crowther,@crowthrm,,,BC,,,,
Lori Whitehead,@DrLoriWhitehead,,,BC,,,,
Carllin Man,@CMan_CCFP,,,BC,,,,
Kate Hanneman,@KateHanneman,,,BC,,,,
Shiela Appavoo MD,@ShielaAppavoo,,,BC,,,,
Dr. Oona Hayes,@dr_oona,,,BC,,,,
Jean Seely,@JeanSeely,,,BC,,,,
Michael Putland,@fogducker1,,,BC,,,,
Karen Seland,@kselandMD,,,BC,,,,
Shelley Zieroth,@ShelleyZieroth,,,BC,,,,
Dr Anthony Cooper,@Kidsbonedoc,,,BC,,,,
Dr. Marie-Claude Grégoire,@DrMCGregoire,,,BC,,,,
Elizabeth Parfitt MD,@parsnipper,,,BC,,,,
Tom McLaughlin,@mclaughlin_tom,,,BC,,,,
Elsie Nguyen,@ElsieRadiology,,,BC,,,,
Kara McNair,@karamcnair,,,BC,,,,
Claire Snyman,@clairehsnyman,,,BC,,,,
minipakkal,@minipakkal,,,BC,,,,
Sammy Chu,@SammyChuMD1,,,BC,,,,
Dr Aniz Khalfan,@AnizKhalfan,,,BC,,,,
JD Richardson,@JDRichardsonMD,,,BC,,,,
Gilles Soulez,@gsoulez,,,BC,,,,
Kishore Mulpuri,@hippysurgeon,,,BC,,,,
Dr N Grewal,@DrNGrewal,,,BC,,,,
Alan Ruddiman,@awruddiman,,,BC,,,,
Silvia Chang,@SilviaChangMD,,,BC,,,,
Alison Harris,@DrAlisonHarris,,,BC,,,,
"Renee Fernandez,",@DrRFernandez,,,BC,,,,
The B.C. Orthopaedic Association,@BCOrthopods,,,BC,,,,
Brian Day,@DrBrianDay,,,BC,,,,
M McC,@DocMcConks,,,BC,,,,
"Josh Greggain,",@JoshGreggain,,,BC,,,,
dr.baldevsanghera,@sangherabaldev,,,BC,,,,NAME
Dr. Darren Joneson,@DadDrummerDoc,,,BC,,,,
Calvin Tong,@CalvinTongMD,,,BC,,,,
Sarah Cook,@DrSarahJCook,,,BC,,,,
Kim Kelly,@KimKellyMD,,,BC,,,,
Melanie Bechard,@bechardmel,,,BC,,,,
Dr. Sarah Newbery,@snewbery1,,,BC,,,,
Indy ਸਿੰਘ Sahota,@indysahota,,,BC,,,,
Dr. Mamta Gautam,@PEAKMD,,,BC,,,,
Doreen Rabi,@doreen_rabi,,,BC,,,,
Emily Gruenwoldt Carkner,@EGruenwoldt,,,BC,,,,